01:54:23.616670279 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.626344867 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=s 
01:54:23.626358192 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.626372109 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=a 
01:54:23.626382899 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=l 
01:54:23.626395393 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=l 
01:54:23.626408739 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.626420632 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=d 
01:54:23.626434819 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.626447012 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=; 
01:54:23.626458865 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.626471729 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=f 
01:54:23.626486147 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=i 
01:54:23.626499583 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=; 
01:54:23.626513780 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.626526073 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=d 
01:54:23.626539289 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=o 
01:54:23.626551141 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=n 
01:54:23.626564978 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.626577391 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=; 
01:54:23.626590096 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=I 
01:54:23.626602309 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=P 
01:54:23.626614252 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data== 
01:54:23.626627708 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.626642105 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=1 
01:54:23.626655661 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=9 
01:54:23.626669417 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=2 
01:54:23.626681891 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=. 
01:54:23.626696559 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=1 
01:54:23.626708903 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=6 
01:54:23.626722319 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=8 
01:54:23.626735063 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=. 
01:54:23.626748509 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=1 
01:54:23.626760632 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=. 
01:54:23.626774168 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=5 
01:54:23.626787754 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=8 
01:54:23.626801109 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.626813253 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=; 
01:54:23.626827189 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.626840865 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=H 
01:54:23.626852949 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=O 
01:54:23.626867096 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=S 
01:54:23.626879810 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=T 
01:54:23.626892124 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data== 
01:54:23.626906411 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.626919576 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.626932481 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=r 
01:54:23.626946578 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=u 
01:54:23.626960073 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=s 
01:54:23.626972708 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.626984310 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.626997355 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=d 
01:54:23.627009628 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=. 
01:54:23.627023134 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=b 
01:54:23.627035708 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=a 
01:54:23.627049755 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=c 
01:54:23.627062199 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=k 
01:54:23.627075584 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=u 
01:54:23.627089912 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=p 
01:54:23.627102306 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=. 
01:54:23.627114469 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=c 
01:54:23.627127384 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=o 
01:54:23.627139988 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=. 
01:54:23.627152321 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=i 
01:54:23.627165877 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=d 
01:54:23.627178401 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.627190324 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=; 
01:54:23.627202908 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.627216224 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.627228507 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=c 
01:54:23.627241642 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=h 
01:54:23.627254366 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=o 
01:54:23.627266450 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.627285516 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=' 
01:54:23.627298280 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=1 
01:54:23.627312408 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=9 
01:54:23.627325943 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=2 
01:54:23.627338497 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=. 
01:54:23.627351893 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=1 
01:54:23.627365379 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=6 
01:54:23.627378815 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=8 
01:54:23.627391248 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=. 
01:54:23.627403512 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=1 
01:54:23.627416366 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=. 
01:54:23.627430143 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=5 
01:54:23.627442607 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=8 
01:54:23.627454569 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.627466983 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.627479728 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=r 
01:54:23.627493424 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=u 
01:54:23.627506819 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=s 
01:54:23.627520275 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.627532448 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.627544682 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=d 
01:54:23.627557246 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=. 
01:54:23.627571012 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=b 
01:54:23.627583416 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=a 
01:54:23.627597232 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=c 
01:54:23.627609446 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=k 
01:54:23.627623232 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=u 
01:54:23.627636658 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=p 
01:54:23.627649332 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=. 
01:54:23.627661195 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=c 
01:54:23.627673879 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=o 
01:54:23.627686533 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=. 
01:54:23.627699698 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=i 
01:54:23.627713405 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=d 
01:54:23.627725989 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=' 
01:54:23.627739444 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.627751538 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=> 
01:54:23.627763330 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=> 
01:54:23.627775754 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.627788007 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=/ 
01:54:23.627800551 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.627812604 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.627826150 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=c 
01:54:23.627838294 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=/ 
01:54:23.627852040 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=h 
01:54:23.627865285 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=o 
01:54:23.627877919 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=s 
01:54:23.627890213 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.627902817 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=s 
01:54:23.627914990 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=; 
01:54:23.627927504 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.627941862 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=S 
01:54:23.627955388 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=R 
01:54:23.627969404 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=C 
01:54:23.627981918 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data== 
01:54:23.627996266 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.628008479 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=/ 
01:54:23.628020973 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=h 
01:54:23.628033567 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=o 
01:54:23.628046412 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=m 
01:54:23.628059787 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.628072261 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=/ 
01:54:23.628085116 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=u 
01:54:23.628097149 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=s 
01:54:23.628111336 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.628124351 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=r 
01:54:23.628137386 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.628149850 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=; 
01:54:23.628163676 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.628175889 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=U 
01:54:23.628189115 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=R 
01:54:23.628202600 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=L 
01:54:23.628214333 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data== 
01:54:23.628226727 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.628240132 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=h 
01:54:23.628252706 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.628265140 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.628286932 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=p 
01:54:23.634332627 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=d 
01:54:23.634352806 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=2 
01:54:23.634369327 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=0 
01:54:23.634384446 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=9 
01:54:23.634399725 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=4 
01:54:23.634413602 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=6 
01:54:23.634428931 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=4 
01:54:23.634441866 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=0 
01:54:23.634458818 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=5 
01:54:23.634473456 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=a 
01:54:23.634489818 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=2 
01:54:23.634506319 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=. 
01:54:23.634524073 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=p 
01:54:23.634553780 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.634586202 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=m 
01:54:23.634607553 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=; 
01:54:23.634639534 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=  
01:54:23.634666586 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=o 
01:54:23.634695662 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=p 
01:54:23.634723234 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.634739425 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=n 
01:54:23.634774512 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=s 
01:54:23.634808377 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=s 
01:54:23.634815691 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=s 
01:54:23.634828155 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=l 
01:54:23.634833084 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=l 
01:54:23.634845007 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=  
01:54:23.634848905 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.634861369 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.634865096 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.634881978 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=n 
01:54:23.634886617 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=n 
01:54:23.634908459 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=c 
01:54:23.634912106 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=c 
01:54:23.634940330 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=  
01:54:23.634943896 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.634959496 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.634963283 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.634975597 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=a 
01:54:23.634979344 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=a 
01:54:23.634992109 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.634995816 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.635010243 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=s 
01:54:23.635013500 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=s 
01:54:23.635025913 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.635029610 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.635044569 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=2 
01:54:23.635048336 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=2 
01:54:23.635060790 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=5 
01:54:23.635064547 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=5 
01:54:23.635078955 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=6 
01:54:23.635082722 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=6 
01:54:23.635095106 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.635098843 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.635111327 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=c 
01:54:23.635115044 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=c 
01:54:23.635130203 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=f 
01:54:23.635134982 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=f 
01:54:23.635147867 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=b 
01:54:23.635151584 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=b 
01:54:23.635165380 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=  
01:54:23.635169087 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.635180760 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.635184457 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.635199085 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=K 
01:54:23.635202782 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=K 
01:54:23.635216017 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=  
01:54:23.635219724 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.635231416 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.635235093 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.635248750 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=$ 
01:54:23.635253338 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=$ 
01:54:23.635266924 43695/43695 bash  | write < SUCCESS | pipe  | args=res=1 data=( 
01:54:23.635270651 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=( 
01:54:23.635312662 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=h 
01:54:23.635330286 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.635345805 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=a 
01:54:23.635359171 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=d 
01:54:23.635371925 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.635386293 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.635400480 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=c 
01:54:23.635414166 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.635428704 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=6 
01:54:23.635443983 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=4 
01:54:23.635456908 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.635469732 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=/ 
01:54:23.635484230 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.635499740 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=m 
01:54:23.635510921 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=p 
01:54:23.635522263 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=/ 
01:54:23.635536480 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=i 
01:54:23.635549014 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=n 
01:54:23.635569774 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=i 
01:54:23.635599200 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.635617495 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=. 
01:54:23.635640589 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.635661249 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=x 
01:54:23.635684423 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.635706135 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=. 
01:54:23.635728327 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=p 
01:54:23.635753405 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.635777852 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=m 
01:54:23.635798030 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=) 
01:54:23.635823439 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.635851853 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.635868525 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.635893082 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=i 
01:54:23.635915104 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=v 
01:54:23.635937427 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.635961052 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.635985239 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=$ 
01:54:23.636005507 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=( 
01:54:23.636030144 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.636051265 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=a 
01:54:23.636072105 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=i 
01:54:23.636094357 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=l 
01:54:23.636116810 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.636136929 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.636158500 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=c 
01:54:23.636182045 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.636203246 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=3 
01:54:23.636223514 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=2 
01:54:23.636245967 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.636266988 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=/ 
01:54:23.636301403 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.636322674 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=m 
01:54:23.636344816 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=p 
01:54:23.636365326 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=/ 
01:54:23.636387969 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=i 
01:54:23.636407797 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=n 
01:54:23.636428707 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=i 
01:54:23.636450098 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.636470286 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=. 
01:54:23.636493170 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.636517918 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=x 
01:54:23.636537245 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
